source_key,provider_name,source_label,mode,scope,attribution_requirement,compliance_status,remediation_priority,public_claim_count,user_surface_count,policy_reference_urls,remediation_action
ll2_launch_library,The Space Devs,Launch Library 2 (LL2),active,core,recommended,compliant,none,5,3,https://thespacedevs.com/llapi,Keep LL2 listed as the primary launch schedule source.
snapi_news,The Space Devs,Spaceflight News API (SNAPI),active,core,recommended,compliant,none,3,3,https://spaceflightnewsapi.net/ | https://api.spaceflightnewsapi.net/v4/docs,Keep SNAPI attribution on legal page and news surfaces.
nws_weather,National Weather Service / NOAA,NWS API (api.weather.gov),active,core,recommended,compliant,none,3,3,https://www.weather.gov/documentation/services-web-api,Keep NWS listed and retain no-endorsement language.
ws45_forecast,45th Weather Squadron / U.S. Space Force,45th Weather Squadron forecast PDFs,active,feature,recommended,compliant,none,2,2,https://45thweathersquadron.nebula.spaceforce.mil/pages/launchForecastSupport.html,Keep WS45 attribution on legal data and forecast panels.
open_meteo_weather,Open-Meteo,Open-Meteo Forecast API,active,feature,required,compliant,none,2,3,https://open-meteo.com/en/terms,Keep Open-Meteo listed in legal data attributions and on JEP user-facing surfaces.
faa_tfr_notam,Federal Aviation Administration (FAA),FAA TFR/NOTAM feeds,active,feature,recommended,compliant,none,2,2,https://tfr.faa.gov/tfrapi/getTfrList | https://www.usa.gov/government-works,Keep FAA labels in launch airspace panels.
navcen_bnm,U.S. Coast Guard Navigation Center,NAVCEN BNM hazard feed,active,feature,recommended,compliant,none,1,2,https://www.navcen.uscg.gov/broadcast-notice-to-mariners-message,Keep NAVCEN BNM attribution on legal data surfaces.
celestrak_orbit_satcat,CelesTrak,CelesTrak GP/SATCAT datasets,active,feature,recommended,compliant,none,1,2,https://celestrak.org/NORAD/documentation/gp-data-formats.php,Keep CelesTrak attribution current on legal data surfaces.
artemis_nasa_public_data,NASA and U.S. public-sector data sources,NASA Artemis feeds + oversight/procurement sources,active,feature,required,compliant,none,2,2,https://www.nasa.gov/nasa-brand-center/images-and-media/,Keep NASA/public-sector Artemis attribution language current across legal and Artemis surfaces.
blue_origin_official_channels,Blue Origin,Blue Origin official mission/news/media channels,active,feature,recommended,compliant,none,1,4,https://www.blueorigin.com/news | https://www.blueorigin.com/news/new-shepard-to-pause-flights,Keep Blue Origin official channel attribution visible on Blue Origin program hub surfaces.
blue_origin_wayback_archive,Internet Archive,Wayback Machine (Blue Origin mission-page captures),active,feature,recommended,compliant,none,0,3,https://archive.org/about/terms.php,Keep Wayback Machine sourcing documented in internal attribution inventory for Blue Origin traveler reconciliation.
wikipedia_blue_origin_travelers,Wikimedia Foundation,Wikipedia API (Blue Origin traveler enrichment),active,feature,recommended,compliant,none,0,2,https://en.wikipedia.org/w/api.php | https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use,Retain internal-source disclosure for Wikipedia-derived traveler enrichment.
spacex_website_content,SpaceX,SpaceX launch website content API,active,feature,unknown,unclear,P1,1,1,https://www.spacex.com/legal/terms/,Keep linked source labeling on launch detail pages and track SpaceX rights clarification in the internal risk register (non-blocking).
wikimedia_wikidata_drone_ships,Wikimedia Foundation,Wikidata + Wikimedia Commons,active,feature,recommended,compliant,none,2,2,https://www.wikidata.org/w/api.php | https://commons.wikimedia.org/w/api.php,Retain visible image/license attribution on drone-ship pages.
celestrak_supgp_optional,CelesTrak,CelesTrak SupGP supplemental feed,dormant,feature,recommended,compliant,none,0,0,https://celestrak.org/NORAD/documentation/gp-data-formats.php,No public attribution required while dormant; re-audit if enabled.
