launchId,flightCode,name,net,passengersTotal,passengersVerifiedManifest,passengersVerifiedLaunchDetail,payloadsTotal,payloadsVerifiedManifest,payloadsVerifiedLaunchDetail,officialSources,officialSourcesBroken,anomalies
d26cca98-2cad-4f89-84d4-e9072db7e707,,New Glenn | Blue Moon Pathfinder Mission 2 & VIPER,2027-12-31T00:00:00+00:00,0,0,0,0,0,0,1,0,
25631245-4239-4df6-8b02-7e7c2cdccc23,,New Glenn | Blue Moon Pathfinder,2026-12-31T00:00:00+00:00,0,0,0,0,0,0,1,0,
10f41762-7bb8-4633-8023-4b7720ed32ec,,New Glenn | BlueBird Block 2 #4,2026-12-31T00:00:00+00:00,0,0,0,0,0,0,0,0,
2da3cf1b-1c5f-4473-bac9-e9b4253b7d22,,New Glenn | Amazon Leo (New Glenn #1),2026-12-31T00:00:00+00:00,0,0,0,0,0,0,0,0,
78c75deb-a0fa-419a-b152-35eb6dede4ec,,New Glenn | BlueBird Block 2 #2,2026-03-31T00:00:00+00:00,0,0,0,0,0,0,0,0,
b54ac864-8bc6-4587-886b-e74c48484ff6,ns-38,New Shepard | NS-38,2026-01-22T16:25:35+00:00,7,7,7,1,0,0,0,0,
86063b43-8939-47f6-9088-05f631e0eb27,ns-37,New Shepard | NS-37,2025-12-20T14:15:00+00:00,6,6,6,0,0,0,0,0,
b7bad80c-b5eb-4e89-b82e-c0d040086f41,,New Glenn | EscaPADE,2025-11-13T20:55:01+00:00,0,0,0,2,2,2,1,0,
ec4fc9eb-e660-4367-93b9-adc78fdae411,ns-36,New Shepard | NS-36,2025-10-08T13:40:27+00:00,8,8,8,0,0,0,0,0,
d44c175a-bd9d-4133-9bdb-9537f43535d7,ns-35,New Shepard | NS-35,2025-09-18T13:00:00+00:00,0,0,0,0,1,0,0,0,
b32bdcaf-d970-42a3-815f-2358aa154500,ns-34,New Shepard | NS-34,2025-08-03T12:42:16+00:00,10,10,10,0,0,0,0,0,
41c4eeb5-4cde-409f-98c2-5dded14fd988,ns-33,New Shepard | NS-33,2025-06-29T14:39:56+00:00,8,8,8,0,0,0,0,0,
9f88449b-b9ae-4e20-be93-87ad9cdfce86,ns-32,New Shepard | NS-32,2025-05-31T13:39:11+00:00,8,8,8,0,0,0,0,0,
5cdaf6ea-a2b8-4d97-8565-541c2fdb9a1a,ns-31,New Shepard | NS-31,2025-04-14T13:30:00+00:00,7,7,7,0,0,0,0,0,
ca18ee24-c58f-4224-b892-179c5a856a13,ns-30,New Shepard | NS-30,2025-02-25T15:49:11+00:00,8,8,8,0,0,0,0,0,
82204811-bd9a-4769-a45f-9cd8fcb66460,ns-29,New Shepard | NS-29,2025-02-04T16:00:00+00:00,0,0,0,0,1,0,1,0,
459a2ecb-c06f-4398-9b3f-6898830c72b4,,New Glenn | Maiden Flight,2025-01-16T07:03:00+00:00,0,0,0,0,1,0,0,0,
b005506a-9288-4877-9c87-fb46adaac5e9,ns-28,New Shepard | NS-28,2024-11-22T15:30:00+00:00,8,8,8,0,0,0,0,0,
bf8507a5-3536-4713-bdee-d8cab18a9570,ns-27,New Shepard | NS-27,2024-10-23T15:27:00+00:00,0,0,0,0,0,0,0,0,
1a0fa749-0fd1-4649-a2e0-55c9037fe0b3,ns-26,New Shepard | NS-26,2024-08-29T13:07:03+00:00,6,6,6,0,0,0,0,0,
9090cf27-afc1-4829-871b-761d8d60058d,ns-25,New Shepard | NS-25,2024-05-19T14:35:09+00:00,8,8,8,0,0,0,0,0,
0ffbf665-40f4-4102-93ca-a0ba4cc61347,ns-24,New Shepard | NS-24,2023-12-19T16:42:28+00:00,0,0,0,0,1,0,1,0,
ca6226ef-ef69-4d8a-ad46-b40a742164e4,ns-23,New Shepard | NS-23,2022-09-12T14:27:00+00:00,0,0,0,0,1,0,0,0,
d1a8e88e-6d41-4dd6-9cf1-5feb43c45ac0,ns-22,New Shepard | NS-22,2022-08-04T13:56:07+00:00,7,7,7,0,0,0,0,0,
5dac5fc5-3dc2-4e5f-995b-eb2b1199547c,ns-21,New Shepard | NS-21,2022-06-04T13:25:02+00:00,7,7,7,0,0,0,1,0,
012a5f28-7276-4332-bd62-f4d488b88c68,ns-20,New Shepard | NS-20,2022-03-31T13:57:55+00:00,6,6,6,0,0,0,1,0,
daca8703-163d-4c09-863e-4909b3dd746d,ns-19,New Shepard | NS-19,2021-12-11T15:00:42+00:00,6,6,6,0,0,0,0,0,
b8462621-d2a6-47ec-9ef6-08c69c6c6856,ns-18,New Shepard | NS-18,2021-10-13T14:49:00+00:00,4,4,4,0,0,0,0,0,
fb10ba72-2897-432e-8549-e863c4984dec,ns-17,New Shepard | NS-17,2021-08-26T14:31:00+00:00,0,0,0,0,0,0,1,0,
c2cda252-e82e-449c-9759-6821df6c38c4,ns-16,New Shepard | NS-16,2021-07-20T13:12:00+00:00,4,4,4,0,0,0,0,0,
33503fc3-a585-48ad-a999-5682d3edfdb4,ns-15,New Shepard | NS-15,2021-04-14T16:49:15+00:00,1,0,0,0,1,1,1,0,
d8a1e474-397e-4b16-97c0-f8fe48c02dc6,ns-14,New Shepard | NS-14,2021-01-14T17:19:00+00:00,1,0,0,0,1,1,1,0,
89ffcc85-a514-4983-8093-2cfb7ffe57a7,ns-13,New Shepard | NS-13,2020-10-13T13:37:00+00:00,0,0,0,0,1,0,0,0,
b5223255-b76e-44eb-89d8-93f23ca6475e,ns-12,New Shepard | NS-12,2019-12-11T17:55:10+00:00,0,0,0,0,1,0,0,0,
968a441f-a57a-4815-907e-0e8dbfeb7992,ns-11,New Shepard | NS-11,2019-05-02T13:35:13+00:00,0,0,0,0,1,0,0,0,
affdb294-8834-4efd-a51f-8248bbb10a49,ns-10,New Shepard | NS-10,2019-01-23T15:05:00+00:00,0,0,0,0,0,0,1,0,
68488234-6337-407a-88ca-b8b4983e9e7c,ns-9,New Shepard | NS-9,2018-07-18T15:00:00+00:00,0,0,0,0,1,0,0,0,
0a52fc26-659a-4f60-8112-46b4da8656af,ns-8,New Shepard | NS-8,2018-04-29T17:07:00+00:00,0,0,0,0,1,0,0,0,
c00293f1-09cc-473b-9208-cd5d98f11d7f,ns-7,New Shepard | NS-7,2017-12-12T16:59:00+00:00,1,0,0,0,2,1,0,0,
52442d30-b30e-4506-ace7-398f49d8e7d4,ns-6,New Shepard | NS-6,2016-10-05T16:36:00+00:00,0,0,0,0,0,0,0,0,
a005a673-a3c4-4288-ade1-b16a1b81ae9e,ns-5,New Shepard | NS-5,2016-06-19T15:15:00+00:00,0,0,0,0,0,0,0,0,
8dd51176-09c9-46da-b638-f1192aa2d8cb,ns-4,New Shepard | NS-4,2016-04-02T16:18:00+00:00,0,0,0,0,0,0,0,0,
c132fff0-423e-4136-8c76-c065141c77a9,ns-3,New Shepard | NS-3,2016-01-22T16:00:00+00:00,0,0,0,0,0,0,0,0,
09951d5e-a884-4a3e-9a98-9e350a15c3ea,ns-2,New Shepard | NS-2,2015-11-23T17:21:00+00:00,0,0,0,0,0,0,0,0,
e6962f69-b7f0-462b-a787-276c3de49358,ns-1,New Shepard | NS-1,2015-04-29T17:06:00+00:00,0,0,0,0,0,0,0,0,
